Year,Month,Day,Hour,Minute,EMASignal,isPivot,CHOCH_pattern_detected,fibonacci_signal,SL,TP,MinSwing,MaxSwing,LBD_detected,LBH_detected,SR_signal,isBreakOut,candlestick_signal,result,signal1,buy_signal,Position,sell_signal,fractal_high,fractal_low,buy_signal1,sell_signal1,fractals_high,fractals_low,VSignal,PriceSignal,TotSignal,SLSignal,grid_signal,ordersignal,SLSignal_heiken,EMASignal1,long_signal,martiangle_signal,Candle_direction
2021,9,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,0,0,0,0,0,0,0.0,0,0,1,1
2021,9,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,0,0,0,0,0,0,0.0,0,0,1,0
2021,9,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,0
2021,9,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,False,1.0,True,False,True,True,False,False,True,1,0,0,0,0,0,0.0,0,0,2,1
2021,9,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,0
2021,9,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,0,0,0,0,0,0,0.0,0,0,1,0
2021,9,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,1
2021,9,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,1
2021,9,27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,True,False,True,False,True,False,1,0,0,0,0,2,75.05000305175781,0,0,2,1
2021,9,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,0
2021,9,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,0
2021,9,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,True,True,False,False,True,1,0,0,0,0,0,0.0,0,0,2,1
2021,9,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,1
2021,9,27,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,True,False,True,False,True,False,1,0,0,0,0,0,0.0,0,0,2,0
2021,9,27,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,1
2021,9,27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,0,0,0,0,0,0,0.0,0,0,2,0
2021,9,27,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,0,0,0,0,0,0,0.0,0,0,2,0
2021,9,27,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,0
2021,9,27,21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,1
2021,9,27,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,1
2021,9,27,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,1
2021,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,0
2021,9,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,True,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,1
2021,9,28,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1.0,False,True,False,True,False,True,False,1,0,0,0,0,0,0.0,0,0,1,1
2021,9,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,0
2021,9,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,1
2021,9,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,0
2021,9,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,0
2021,9,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,1
2021,9,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,0
2021,9,28,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,True,False,True,False,True,False,1,0,0,0,0,0,0.0,0,0,2,0
2021,9,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,0
2021,9,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,True,True,False,False,True,1,0,0,0,0,0,0.0,0,0,1,0
2021,9,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,1
2021,9,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,0,0,0,0,0,0,0.0,0,0,1,1
2021,9,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,True,False,True,False,True,False,1,0,0,0,0,0,0.0,0,0,1,0
2021,9,28,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,0
2021,9,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,True,True,False,False,True,1,0,0,0,0,0,0.0,0,0,1,0
2021,9,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,1
2021,9,28,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,1
2021,9,28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,0
2021,9,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,0
2021,9,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,0,0,0,0,0,0,0.0,0,0,2,0
2021,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,False,1.0,True,False,False,True,False,False,False,0,0,0,0,0,0,0.0,0,0,1,1
2021,9,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,0
2021,9,29,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,True,True,False,False,True,1,0,0,0,0,0,0.0,0,0,1,0
2021,9,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,1
2021,9,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,1
2021,9,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,1
2021,9,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,0,0,0,0,0,0,0.0,0,0,1,1
2021,9,29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,0
2021,9,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,1
2021,9,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,True,True,False,False,True,1,0,0,0,0,0,0.0,0,0,1,1
2021,9,29,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1.0,False,True,False,True,False,True,False,1,0,0,0,0,0,0.0,0,0,2,1
2021,9,29,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,0
2021,9,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,0,0,0,0,0,0,0.0,0,0,1,0
2021,9,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,0,0,0,0,0,0,0.0,0,0,2,0
2021,9,29,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,1,75.19000244140625,0,0,2,0
2021,9,29,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,True,True,False,False,True,1,0,0,0,0,1,75.0199966430664,0,0,2,0
2021,9,29,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,0,0,0,0,0,1,74.9000015258789,0,0,1,1
2021,9,29,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,0,0,0,0,0,0,0.0,0,0,2,1
2021,9,29,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,True,True,True,False,True,True,1,0,0,0,0,0,0.0,0,0,1,1
2021,9,29,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,0
2021,9,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,1,75.19000244140625,0,0,1,0
2021,9,29,23,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,False,1.0,True,False,True,True,False,False,True,0,0,0,0,0,0,0.0,0,0,2,1
2021,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,0,0,0,0,0,0,0.0,0,0,1,1
2021,9,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,0
2021,9,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,0
2021,9,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,1
2021,9,30,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,True,False,True,False,True,False,1,0,0,0,0,0,0.0,0,0,1,1
2021,9,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,0
2021,9,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,0
2021,9,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,1,75.08000183105469,0,0,1,0
2021,9,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,0
2021,9,30,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,True,True,False,False,True,1,0,0,0,0,0,0.0,0,0,1,0
2021,9,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,True,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,1,1
2021,9,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,1
2021,9,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1.0,False,False,False,True,False,False,False,1,0,0,0,0,0,0.0,0,0,2,1
